id,date,price,bedrooms,sqft_living,waterfront,view,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,sqft_living15,sqft_lot15,year_sold,age_house,Renovated,log_price
2591820310,20141006T000000,365000.0,4,2070,0,0,8,2070,0,1986,0,98058,47.4388,2390,7700,2014,28,0,12.80765263256463
7974200820,20140821T000000,865000.0,5,2900,0,0,8,1830,1070,1977,0,98115,47.6784,2370,6283,2014,37,0,13.670484785914017
7701450110,20140815T000000,1038000.0,4,3770,0,2,11,3770,0,1997,0,98006,47.5646,3710,9685,2014,17,0,13.852806342707972
9522300010,20150331T000000,1490000.0,3,4560,0,2,12,4560,0,1990,0,98034,47.6995,4050,14226,2015,25,0,14.214286677921642
9510861140,20140714T000000,711000.0,3,2550,0,0,9,2550,0,2004,0,98052,47.6647,2250,4050,2014,10,0,13.474427708785377
1761300310,20140827T000000,211000.0,4,1710,0,0,7,1710,0,1970,0,98031,47.3947,1710,7200,2014,44,0,12.259613412458204
7732410120,20140819T000000,790000.0,4,2690,0,0,9,2690,0,1987,0,98007,47.6596,2420,8087,2014,27,0,13.579788224443204
7010701383,20141017T000000,680000.0,3,1800,0,0,7,1350,450,1970,0,98199,47.6599,1920,4400,2014,44,0,13.42984807715229
291310170,20140804T000000,384500.0,3,1600,0,0,8,1600,0,2005,0,98027,47.5344,1445,1288,2014,9,0,12.859699067927835
4232901990,20140516T000000,605000.0,2,910,0,0,7,910,0,1909,0,98119,47.6341,1720,3600,2014,105,0,13.312983737012978
6840701125,20150422T000000,638000.0,3,1830,0,0,8,1720,110,1930,0,98122,47.6052,1650,4400,2015,85,0,13.366093562326927
3971700580,20150303T000000,385000.0,3,1930,0,0,7,1130,800,1963,1998,98155,47.7733,1730,14378,2015,52,1,12.86099861326992
4202400078,20150128T000000,175000.0,2,1410,0,0,7,1410,0,1968,0,98055,47.4908,1540,6000,2015,47,0,12.072541252905651
6064800090,20150507T000000,365000.0,3,1960,0,0,7,1750,210,2003,0,98118,47.5419,1760,1985,2015,12,0,12.80765263256463
2626119028,20150323T000000,160000.0,3,1140,0,0,6,1140,0,1910,0,98014,47.7093,1140,4700,2015,105,0,11.982929094215963
3303980660,20140603T000000,1070000.0,4,4130,0,0,11,4130,0,2001,0,98059,47.5194,3690,11227,2014,13,0,13.883169206438088
862000020,20150206T000000,800000.0,6,1430,0,0,7,1430,0,1954,0,98004,47.6255,2450,10080,2015,61,0,13.592367006650065
2386000070,20141029T000000,795127.0,4,4360,0,0,10,3360,1000,1993,0,98053,47.6398,3540,90940,2014,21,0,13.58625712930572
1138000450,20141016T000000,355000.0,4,1440,0,0,7,1440,0,1969,0,98034,47.7133,1150,7215,2014,45,0,12.779873068457553
1775800420,20150202T000000,474000.0,4,1960,0,0,8,1330,630,1976,0,98072,47.7434,1540,15000,2015,39,0,13.068962600677214
2291401425,20140910T000000,485000.0,5,1910,0,0,7,1020,890,1968,0,98133,47.7074,1030,7440,2014,46,0,13.091904169919621
2025770560,20141103T000000,930000.0,4,5710,0,0,11,5710,0,2007,0,98092,47.3065,4060,23847,2014,7,0,13.742939865129438
3525069037,20141120T000000,920000.0,3,2590,0,0,9,2590,0,1983,0,98074,47.6145,3410,212137,2014,31,0,13.732128949025222
9324800450,20141009T000000,560000.0,3,2790,0,2,8,1700,1090,1955,0,98125,47.7328,2410,8100,2014,59,0,13.235692062711331
8080400136,20140620T000000,654000.0,3,1530,0,0,8,1280,250,2005,0,98122,47.6179,1530,1381,2014,9,0,13.390862630439337
8651540040,20140718T000000,549000.0,3,1920,0,0,8,1920,0,1981,0,98074,47.6432,2000,10706,2014,33,0,13.215853720491667
9407001790,20140826T000000,290000.0,3,1010,0,0,7,1010,0,1972,0,98045,47.4483,1370,9500,2014,42,0,12.577636201962656
1773101530,20141218T000000,275000.0,1,520,0,0,5,520,0,1930,0,98106,47.5533,800,4960,2014,84,0,12.524526376648708
9432900250,20150309T000000,329990.0,4,2420,0,0,8,2420,0,1997,0,98022,47.2089,2270,8770,2015,18,0,12.706817629953214
1794500695,20150304T000000,750000.0,2,1110,0,0,7,1110,0,1904,0,98119,47.6382,1670,5400,2015,111,0,13.527828485512494
